Speed,Stage,Event,Finish,Distance,Winner, 
"30,646",Tour de France 1934 - Stage6 ,Stage in line,Aix-les-Bains,207,Georges Speicher,
"30,646",Tour de France 1965 - Stage16 ,Stage in line,Briançon,177.0,Joaquim Galera,
"30,606",Tour de France 1927 - Stage 3 RR,Stage in line,Caen,225.0,Hector Martin,
"30,599",Tour de France 1937 - Stage12a ,Stage in line,Nîmes,112,Alphonse Antoine,
"30,587",Tour de France 1909 - Stage11 ,Stage in line,Nantes,391,Louis Trousselier,
"30,570",Tour de France 1903 - Stage4 ,Stage in line,Bordeaux,268.0,Charles Laeser,
"30,562",Tour de France 1910 - Stage1 ,Stage in line,Roubaix,272.0,Charles Crupelandt,
"30,554",Tour de France 1911 - Stage3 ,Stage in line,Belfort,331,François Faber,
"30,543",Tour de France 1931 - Stage5 ,Stage in line,"Les Sables-d'Olonne",202.0,Charles Pélissier,
"30,543",Tour de France 1935 - Stage1 ,Stage in line,Lille,226,Romain Maes,
"30,528",Tour de France 1952 - Stage 12 RR,Stage in line,Monaco,251.0,Jan Nolten,
"30,511",Tour de France 1960 - Stage17 ,Stage in line,Aix-les-Bains,229.0,Jean Graczyk,
"30,489",Tour de France 1905 - Stage8 ,Stage in line,La Rochelle,257.0,Hippolyte Aucouturier,
"30,471",Tour de France 1927 - Stage 21 RR,Stage in line,Metz,165,Nicolas Frantz,
"30,451",Tour de France 1928 - Stage7 ,Stage in line,Bordeaux,285.0,Victor Fontan,
"30,441",Tour de France 1906 - Stage13 ,Stage in line,Paris,246.0,René Pottier,
"30,441",Tour de France 1986 - Stage13 ,Stage in line,Superbagnères,186.0,Greg Lemond,
"30,440",Tour de France 1973 - Stage10 ,Stage in line,Aubagne,222.5,Michaël Wright,
"30,439",Tour de France 1938 - Stage13 ,Stage in line,Digne-les-Bains,284.0,Dante Gianello,
"30,431",Tour de France 1975 - Stage17 ,Stage in line,Avoriaz,225.0,Vicente López Carril,
"30,428",Tour de France 1932 - Stage2 ,Stage in line,Nantes,300.0,Kurt Stöpel,
"30,416",Tour de France 1950 - Stage15 ,Stage in line,Menton,205.5,Bim Diederich,
"30,401",Tour de France 1952 - Stage 8 RR,Stage in line,Mulhouse,252.0,Raphaël Geminiani,
"30,397",Tour de France 1933 - Stage4 ,Stage in line,Belfort,220.0,Jean Aerts,
"30,379",Tour de France 1990 - Stage 16 RR,Stage in line,Luz-Ardiden,215.0,Miguel Induráin,
"30,364",Tour de France 1927 - Stage 1 RR,Stage in line,Dieppe,180,Francis Pélissier,
"30,361",Tour de France 1913 - Stage8 ,Stage in line,Aix-en-Provence,325,Gustave Garrigou,
"30,353",Tour de France 1956 - Stage18 ,Stage in line,Grenoble,250.0,Charly Gaul,
"30,352",Tour de France 1952 - Stage 17 RR,Stage in line,Bagnères-de-Bigorre,204.0,Raphaël Geminiani,
"30,347",Tour de France 1934 - Stage11 ,Stage in line,Cannes,126,René Vietto,
"30,346",Tour de France 1934 - Stage16 ,Stage in line,Bagnères-de-Luchon,165,Adriano Vignoli,
"30,341",Tour de France 1967 - Stage13 ,Stage in line,Carpentras,211.5,Jan Janssen,
"30,321",Tour de France 1947 - Stage5 ,Stage in line,Besançon,248.0,Ferdi Kübler,
"30,320",Tour de France 1969 - Stage17 ,Stage in line,Mourenx,214.5,Eddy Merckx,
"30,320",Tour de France 1987 - Stage21 ,Stage in line,La Plagne,185.5,Laurent Fignon,
"30,317",Tour de France 1932 - Stage12 ,Stage in line,Grenoble,102,Roger Lapébie,
"30,317",Tour de France 1935 - Stage7 ,Stage in line,Grenoble,229.0,Francesco Camusso,
"30,316",Tour de France 1931 - Stage21 ,Stage in line,Metz,192.0,Rafaele di Paco,
"30,312",Tour de France 1961 - Stage17 ,Stage in line,Pau,197,Eddy Pauwels,
"30,309",Tour de France 1981 - Stage17 ,Stage in line,"L'Alpe-d'Huez",230.5,Peter Winnen,
"30,305",Tour de France 1910 - Stage2 ,Stage in line,Metz,398,François Faber,
"30,303",Tour de France 1983 - Stage17 ,Stage in line,"L'Alpe-d'Huez",223.0,Peter Winnen,
"30,297",Tour de France 1928 - Stage4 ,Stage in line,Brest,206.0,Pé Verhaegen,
"30,285",Tour de France 1930 - Stage4 ,Stage in line,Vannes,210.0,Omer Taverne,
"30,283",Tour de France 1928 - Stage21 ,Stage in line,Dieppe,234,Antonin Magne,
"30,274",Tour de France 1947 - Stage17 ,Stage in line,"Les Sables-d'Olonne",272.0,Eloï Tassin,
"30,271",Tour de France 1911 - Stage8 ,Stage in line,Perpignan,335,Paul Duboc,
"30,265",Tour de France 1939 - Stage12 ,Stage in line,Saint-Raphaël,157,François Neuens,
"30,255",Tour de France 1976 - Stage12 ,Stage in line,Pyrenées 2000,205.5,Raymond Delisle,
"30,247",Tour de France 1951 - Stage14 ,Stage in line,Bagnères-de-Luchon,142,Hugo Koblet,
"30,245",Tour de France 1976 - Stage9 ,Stage in line,"L'Alpe-d'Huez",258.0,Joop Zoetemelk,
"30,245",Tour de France 1932 - Stage7 ,Stage in line,Montpellier,168,Frans Bonduel,
"30,244",Tour de France 1934 - Stage4 ,Stage in line,Belfort,220.0,Roger Lapébie,
"30,232",Tour de France 1927 - Stage 5 RR,Stage in line,Dinan,199.0,Ferdinand le Drogo,
"30,220",Tour de France 1951 - Stage17 ,Stage in line,Avignon,224.0,Louison Bobet,
"30,195",Tour de France 1938 - Stage12 ,Stage in line,Cannes,199.0,Jean Fréchaut,
"30,182",Tour de France 1954 - Stage19 ,Stage in line,Aix-les-Bains,221.0,Jean Dotto,
"30,179",Tour de France 1968 - Stage18 ,Stage in line,Grenoble,235.0,Roger Pingeon,
"30,155",Tour de France 1908 - Stage14 ,Stage in line,Paris,262,Lucien Petit-Breton,
"30,152",Tour de France 1908 - Stage2 ,Stage in line,Metz,398,Lucien Petit-Breton,
"30,143",Tour de France 1934 - Stage19 ,Stage in line,Bordeaux,215.0,Ettore Meini,
"30,123",Tour de France 1948 - Stage 15 RR,Stage in line,Lausanne,256.0,Gino Bartali,
"30,119",Tour de France 1985 - Stage17 ,Stage in line,Luz-Ardiden,209.5,Pedro Delgado,
"30,102",Tour de France 1912 - Stage1 ,Stage in line,Dunkirk,351,Charles Crupelandt,
"30,095",Tour de France 1952 - Stage 13 RR,Stage in line,Aix-en-Provence,214.0,Raoul Rémy,
"30,049",Tour de France 1936 - Stage14a ,Stage in line,Narbonne,103,René Le Grevès,
"30,044",Tour de France 1938 - Stage4a ,Stage in line,La Roche-sur-Yon,62.0,Eloï Meulenberg,
"30,042",Tour de France 1911 - Stage14 ,Stage in line,Le Havre,361,Paul Duboc,
"30,022",Tour de France 1927 - Stage 2 RR,Stage in line,Le Havre,103,Maurice Dewaele,
"30,019",Tour de France 1952 - Stage 10 RR,Stage in line,"Alpe d'Huez",266.0,Fausto Coppi,
"29,987",Tour de France 1953 - Stage11 ,Stage in line,Bagnères-de-Luchon,115,Jean Robic,
"29,983",Tour de France 1939 - Stage18a ,Stage in line,Troyes,151,René Le Grevès,
"29,983",Tour de France 1935 - Stage8 ,Stage in line,Gap,102,Jean Aerts,
"29,979",Tour de France 1932 - Stage3 ,Stage in line,Bordeaux,387,André Leducq,
"29,968",Tour de France 1950 - Stage17 ,Stage in line,Gap,239.0,Raphaël Geminiani,
"29,963",Tour de France 1968 - Stage12 ,Stage in line,Saint-Gaudens,226.5,Georges Pintens,
"29,951",Tour de France 1973 - Stage8 ,Stage in line,Les Orres,237.5,Luis Ocaña,
"29,950",Tour de France 1909 - Stage9 ,Stage in line,Bayonne,299.0,Constant Ménager,
"29,935",Tour de France 1934 - Stage5 ,Stage in line,Évian-les-Bains,293.0,,
"29,930",Tour de France 1939 - Stage9 ,Stage in line,Toulouse,311.0,Edward Vissers,
"29,919",Tour de France 1933 - Stage6 ,Stage in line,Aix-les-Bains,207,Learco Guerra,
"29,908",Tour de France 1974 - Stage17 ,Stage in line,La Mongie,119,Jean-Pierre Danguillaume,
"29,903",Tour de France 1913 - Stage5 ,Stage in line,Bayonne,379,Henri Van Lerberghe,
"29,869",Tour de France 1912 - Stage3 ,Stage in line,Belfort,331,Eugène Christophe,
"29,869",Tour de France 1965 - Stage14 ,Stage in line,Mont-Ventoux,173.0,Raymond Poulidor,
"29,859",Tour de France 1984 - Stage18 ,Stage in line,La Plagne,185.5,Laurent Fignon,
"29,856",Tour de France 1987 - Stage22 ,Stage in line,Morzine,186.0,Eduardo Chozas,
"29,836",Tour de France 1961 - Stage16 ,Stage in line,Superbagnères,208,Imerio Massignan,
"29,818",Tour de France 1950 - Stage5 ,Stage in line,Dinard,316,Giovanni Corrieri,
"29,803",Tour de France 1909 - Stage8 ,Stage in line,Toulouse,303.0,Jean Alavoine,
"29,803",Tour de France 1912 - Stage2 ,Stage in line,Longwy,388,Odile Defraye,
"29,792",Tour de France 1968 - Stage13 ,Stage in line,"La Seu d'Urgell",208.5,Herman Van Springel,
"29,781",Tour de France 1905 - Stage1 ,Stage in line,Nancy,340,Louis Trousselier,
"29,757",Tour de France 1933 - Stage8 ,Stage in line,Gap,102,Georges Speicher,
"29,754",Tour de France 1927 - Stage 18 RR,Stage in line,Pontarlier,213.0,Adelin Benoit,
"29,748",Tour de France 1951 - Stage21 ,Stage in line,Aix-les-Bains,201.0,Bernardo Ruiz,
"29,746",Tour de France 1938 - Stage19 ,Stage in line,Reims,196.0,Fabien Galateau,
"29,697",Tour de France 1914 - Stage2 ,Stage in line,Cherbourg,364,Jean Rossius,
"29,648",Tour de France 1984 - Stage19 ,Stage in line,Morzine,186.0,Ángel Arroyo,
"29,635",Tour de France 1951 - Stage20 ,Stage in line,Briançon,165,Fausto Coppi,
"29,626",Tour de France 1933 - Stage12 ,Stage in line,Marseille,208,Georges Speicher,
"29,581",Tour de France 1921 - Stage13 ,Stage in line,Metz,300.0,Félix Sellier,
"29,578",Tour de France 1929 - Stage16 ,Stage in line,Belfort,283.0,Charles Pélissier,
"29,571",Tour de France 1935 - Stage17 ,Stage in line,Bordeaux,224.0,Julien Moineau,
"29,570",Tour de France 1937 - Stage16 ,Stage in line,Bordeaux,235.0,Paul Chocque,
"29,569",Tour de France 1937 - Stage10 ,Stage in line,Nice,251.0,Félicien Vervaecke,
"29,555",Tour de France 1908 - Stage9 ,Stage in line,Bayonne,299.0,Lucien Petit-Breton,
"29,548",Tour de France 1988 - Stage15 ,Stage in line,Luz-Ardiden,187.5,Laudelino Cubino,
"29,533",Tour de France 1936 - Stage12 ,Stage in line,Marseille,195,René Le Grevès,
"29,510",Tour de France 1913 - Stage2 ,Stage in line,Cherbourg,364,Jules Masselis,
"29,501",Tour de France 1954 - Stage12 ,Stage in line,Bagnères-de-Luchon,161,Gilbert Bauvin,
"29,498",Tour de France 1906 - Stage4 ,Stage in line,Grenoble,311.0,René Pottier,
"29,493",Tour de France 1933 - Stage19 ,Stage in line,Bordeaux,233.0,Jean Aerts,
"29,490",Tour de France 1911 - Stage13 ,Stage in line,Cherbourg,405,Gustave Garrigou,
"29,483",Tour de France 1937 - Stage9 ,Stage in line,Digne-les-Bains,220.0,Roger Lapébie,
"29,480",Tour de France 1937 - Stage14b ,Stage in line,Ax-les-Thermes,59,Mariano Canardo,
"29,474",Tour de France 1927 - Stage 23 RR,Stage in line,Dunkirk,270.0,André Leducq,
"29,445",Tour de France 1931 - Stage20 ,Stage in line,Colmar,209.0,André Leducq,
"29,421",Tour de France 1932 - Stage9 ,Stage in line,Cannes,191,Rafaele di Paco,
"29,413",Tour de France 1973 - Stage12b ,Stage in line,Pyrenées 2000,76,Lucien Van Impe,
"29,385",Tour de France 1934 - Stage8 ,Stage in line,Gap,102,Giuseppe Martano,
"29,383",Tour de France 1938 - Stage16 ,Stage in line,Besançon,284.0,Marcel Kint,
"29,374",Tour de France 1947 - Stage9 ,Stage in line,Digne-les-Bains,217.0,René Vietto,
"29,362",Tour de France 1905 - Stage2 ,Stage in line,Besançon,299.0,Hippolyte Aucouturier,
"29,333",Tour de France 1970 - Stage14 ,Stage in line,Mont-Ventoux,170,Eddy Merckx,
"29,331",Tour de France 1975 - Stage11 ,Stage in line,"Pla d'Adet",160,Joop Zoetemelk,
"29,327",Tour de France 1959 - Stage19 ,Stage in line,Annecy,251.0,Rolf Graf,
"29,320",Tour de France 1910 - Stage6 ,Stage in line,Nice,345,Jules Maitron,
"29,307",Tour de France 1911 - Stage15 ,Stage in line,Paris,317,Marcel Godivier,
"29,302",Tour de France 1933 - Stage5 ,Stage in line,Évian-les-Bains,293.0,Léon Louyet,
"29,280",Tour de France 1932 - Stage15 ,Stage in line,Belfort,291.0,André Leducq,
"29,247",Tour de France 1909 - Stage1 ,Stage in line,Roubaix,272.0,Cyrille Van Hauwaert,
"29,244",Tour de France 1913 - Stage13 ,Stage in line,Longwy,336,François Faber,
"29,239",Tour de France 1932 - Stage17 ,Stage in line,Metz,165,Rafaele di Paco,
"29,237",Tour de France 1910 - Stage7 ,Stage in line,Nîmes,345,François Faber,
"29,235",Tour de France 1911 - Stage4 ,Stage in line,Chamonix,344,Charles Crupelandt,
"29,229",Tour de France 1911 - Stage11 ,Stage in line,La Rochelle,379,Paul Duboc,
"29,197",Tour de France 1930 - Stage6 ,Stage in line,Bordeaux,285.0,Jean Aerts,
"29,156",Tour de France 1914 - Stage1 ,Stage in line,Le Havre,388,Philippe Thys,
"29,151",Tour de France 1949 - Stage 18 RR,Stage in line,Lausanne,265.0,Vincenzo Rossello,
"29,149",Tour de France 1907 - Stage2 ,Stage in line,Metz,398,Emile Georget,
"29,143",Tour de France 1912 - Stage12 ,Stage in line,Brest,470,Louis Heusghem,
"29,138",Tour de France 1910 - Stage13 ,Stage in line,Brest,321.0,Gustave Garrigou,
"29,123",Tour de France 1929 - Stage20 ,Stage in line,Malo-les-Bains,270.0,Maurice Dewaele,
"29,110",Tour de France 1905 - Stage3 ,Stage in line,Grenoble,327,Louis Trousselier,
"29,064",Tour de France 1913 - Stage4 ,Stage in line,La Rochelle,470,Marcel Buysse,
"29,035",Tour de France 1910 - Stage12 ,Stage in line,Nantes,391,Louis Trousselier,
"29,029",Tour de France 1907 - Stage9 ,Stage in line,Bayonne,299.0,Lucien Petit-Breton,
"29,020",Tour de France 1910 - Stage5 ,Stage in line,Grenoble,311.0,Octave Lapize,
"29,013",Tour de France 1954 - Stage18 ,Stage in line,Briançon,216.0,Louison Bobet,
"29,001",Tour de France 1912 - Stage15 ,Stage in line,Paris,317,Jean Alavoine,
"28,995",Tour de France 1952 - Stage 16 RR,Stage in line,Toulouse,200.0,André Rosseel,
"28,983",Tour de France 1969 - Stage20 ,Stage in line,le Puy-de-Dôme,198,Pierre Matignon,
"28,980",Tour de France 1930 - Stage2 ,Stage in line,Dinan,203.0,Learco Guerra,
"28,975",Tour de France 1910 - Stage14 ,Stage in line,Caen,424,Octave Lapize,
"28,972",Tour de France 1913 - Stage3 ,Stage in line,Brest,405,Henri Pélissier,
"28,963",Tour de France 1930 - Stage8 ,Stage in line,Pau,146,Alfredo Binda,
"28,960",Tour de France 1914 - Stage4 ,Stage in line,La Rochelle,470,Oscar Egg,
"28,957",Tour de France 1975 - Stage13 ,Stage in line,Super Lioran,260.0,Michel Pollentier,
"28,921",Tour de France 1930 - Stage14 ,Stage in line,Nice,132,Louis Péglion,
"28,910",Tour de France 1933 - Stage21 ,Stage in line,Rennes,266.0,Jean Aerts,
"28,907",Tour de France 1931 - Stage16 ,Stage in line,Grenoble,102,Charles Pélissier,
"28,882",Tour de France 1987 - Stage11 ,Stage in line,Chaumeil/Les Monédières,205.5,Martial Gayant,
"28,832",Tour de France 1908 - Stage12 ,Stage in line,Brest,321.0,François Faber,
"28,805",Tour de France 1947 - Stage15 ,Stage in line,Pau,195,Jean Robic,
"28,803",Tour de France 1912 - Stage14 ,Stage in line,Le Havre,361,Vincenzo Borgarello,
"28,789",Tour de France 1909 - Stage4 ,Stage in line,Lyon,309,François Faber,
"28,748",Tour de France 1912 - Stage11 ,Stage in line,La Rochelle,379,Jean Alavoine,
"28,741",Tour de France 1911 - Stage2 ,Stage in line,Longwy,388,Jules Masselis,
"28,730",Tour de France 1974 - Stage11 ,Stage in line,Serre Chevalier,199.0,Vicente López Carril,
"28,694",Tour de France 1907 - Stage14 ,Stage in line,Paris,251.0,Georges Passerieu,
"28,683",Tour de France 1925 - Stage7 ,Stage in line,Bayonne,189,Ottavio Bottecchia,
"28,675",Tour de France 1936 - Stage19a ,Stage in line,La Roche-sur-Yon,81,Marcel Kint,
"28,645",Tour de France 1951 - Stage19 ,Stage in line,Gap,208,Armand Baeyens,
"28,634",Tour de France 1972 - Stage11 ,Stage in line,Mont-Ventoux,207,Bernard Thevenet,
"28,627",Tour de France 1932 - Stage10 ,Stage in line,Nice,132,Francesco Camusso,
"28,602",Tour de France 1938 - Stage15 ,Stage in line,Aix-les-Bains,311.0,Marcel Kint,
"28,579",Tour de France 1947 - Stage3 ,Stage in line,Luxembourg,314.0,Aldo Ronconi,
"28,573",Tour de France 1934 - Stage12 ,Stage in line,Marseille,195,Roger Lapébie,
"28,552",Tour de France 1908 - Stage7 ,Stage in line,Nîmes,345,Lucien Petit-Breton,
"28,541",Tour de France 1935 - Stage11 ,Stage in line,Cannes,126,Romain Maes,
"28,529",Tour de France 1933 - Stage16 ,Stage in line,Bagnères-de-Luchon,165,Léon Louyet,
"28,517",Tour de France 1929 - Stage18 ,Stage in line,Metz,165,André Leducq,
"28,497",Tour de France 1912 - Stage4 ,Stage in line,Chamonix,344,Eugène Christophe,
"28,483",Tour de France 1994 - Stage 17 ,Stage in line,Val Thorens,149,Nelson Rodríguez,
"28,466",Tour de France 2001 - Stage 11 ITT,Individual time trial,Chamrousse,32,Lance Armstrong,
"28,462",Tour de France 1914 - Stage8 ,Stage in line,Marseille,370,Octave Lapize,
"28,445",Tour de France 1930 - Stage13 ,Stage in line,Cannes,181,Learco Guerra,
"28,445",Tour de France 1912 - Stage13 ,Stage in line,Cherbourg,405,Jean Alavoine,
"28,410",Tour de France 1910 - Stage3 ,Stage in line,Belfort,259.0,Emile Georget,
"28,407",Tour de France 1909 - Stage12 ,Stage in line,Brest,321.0,Gustave Garrigou,
"28,395",Tour de France 1909 - Stage6 ,Stage in line,Nice,345,François Faber,
"28,367",Tour de France 1930 - Stage17 ,Stage in line,Belfort,282.0,Frans Bonduel,
"28,361",Tour de France 1908 - Stage6 ,Stage in line,Nice,346,Jean-Baptiste Dortignacq,
"28,343",Tour de France 1952 - Stage 14 RR,Stage in line,Avignon,178,Jean Robic,
"28,326",Tour de France 1937 - Stage7 ,Stage in line,Grenoble,228.0,Gino Bartali,
"28,290",Tour de France 1935 - Stage9 ,Stage in line,Digne-les-Bains,227.0,René Vietto,
"28,270",Tour de France 1913 - Stage15 ,Stage in line,Paris,340,Marcel Buysse,
"28,255",Tour de France 1909 - Stage14 ,Stage in line,Paris,251.0,Jean Alavoine,
"28,231",Tour de France 1914 - Stage5 ,Stage in line,Bayonne,379,Oscar Egg,
"28,202",Tour de France 1907 - Stage6 ,Stage in line,Nice,345,Lucien Petit-Breton,
"28,192",Tour de France 1971 - Stage16a ,Stage in line,Gourette,145,Bernard Labourdette,
"28,179",Tour de France 1937 - Stage18b ,Stage in line,Rennes,172.0,Paul Chocque,
"28,144",Tour de France 1968 - Stage19 ,Stage in line,Cordon,200.0,Barry Hoban,
"28,127",Tour de France 1909 - Stage2 ,Stage in line,Metz,398,François Faber,
"28,113",Tour de France 1973 - Stage9 ,Stage in line,Nice,234.5,Vicente López Carril,
"28,101",Tour de France 1908 - Stage3 ,Stage in line,Belfort,259.0,François Faber,
"28,098",Tour de France 1949 - Stage 17 RR,Stage in line,Aosta,257.0,Fausto Coppi,
"28,073",Tour de France 1970 - Stage18 ,Stage in line,La Mongie,135.5,Bernard Thevenet,
"28,073",Tour de France 1932 - Stage13 ,Stage in line,Aix-les-Bains,230.0,André Leducq,
"28,066",Tour de France 1931 - Stage11 ,Stage in line,Montpellier,164,Rafaele di Paco,
"28,050",Tour de France 1906 - Stage9 ,Stage in line,Bordeaux,338,Louis Trousselier,
"28,005",Tour de France 1911 - Stage1 ,Stage in line,Dunkirk,351,Gustave Garrigou,
"27,969",Tour de France 1975 - Stage15 ,Stage in line,Pra-Loup,217.5,Bernard Thevenet,
"27,934",Tour de France 1908 - Stage5 ,Stage in line,Grenoble,311.0,Georges Passerieu,
"27,928",Tour de France 1939 - Stage14 ,Stage in line,Digne-les-Bains,175,Pierre Cloarec,
"27,882",Tour de France 1935 - Stage15 ,Stage in line,Bagnères-de-Luchon,325,Sylvère Maes,
"27,868",Tour de France 1934 - Stage9 ,Stage in line,Digne-les-Bains,227.0,René Vietto,
"27,862",Tour de France 1906 - Stage8 ,Stage in line,Bayonne,300.0,Jean-Baptiste Dortignacq,
"27,858",Tour de France 1906 - Stage2 ,Stage in line,Nancy,400,René Pottier,
"27,804",Tour de France 1978 - Stage 11 RR,Stage in line,"Pla d'Adet",161,Mariano Martinez,
"27,795",Tour de France 1935 - Stage19a ,Stage in line,La Roche-sur-Yon,81,René Le Grevès,
"27,768",Tour de France 1909 - Stage5 ,Stage in line,Grenoble,311.0,François Faber,
"27,763",Tour de France 1908 - Stage11 ,Stage in line,Nantes,391,Lucien Petit-Breton,
"27,746",Tour de France 1912 - Stage9 ,Stage in line,Bagnères-de-Luchon,289,Odile Defraye,
"27,726",Tour de France 1927 - Stage 6 RR,Stage in line,Brest,206.0,André Leducq,
"27,722",Tour de France 1921 - Stage2 ,Stage in line,Cherbourg,364,Romain Bellenger,
"27,711",Tour de France 1906 - Stage5 ,Stage in line,Nice,345,René Pottier,
"27,710",Tour de France 1933 - Stage13 ,Stage in line,Montpellier,168,André Leducq,
"27,688",Tour de France 1939 - Stage16c ,Stage in line,Annecy,103.5,Toon van Schendel,
"27,670",Tour de France 1948 - Stage 14 RR,Stage in line,Aix-les-Bains,263.0,Gino Bartali,
"27,647",Tour de France 1937 - Stage15 ,Stage in line,Pau,194.0,Julián Berrendero,
"27,605",Tour de France 1909 - Stage13 ,Stage in line,Caen,415.0,Paul Duboc,
"27,604",Tour de France 1925 - Stage1 ,Stage in line,Le Havre,340,Ottavio Bottecchia,
"27,603",Tour de France 1912 - Stage7 ,Stage in line,Marseille,334,Odile Defraye,
"27,594",Tour de France 1931 - Stage14 ,Stage in line,Nice,132,Eugenio Gestri,
"27,586",Tour de France 1906 - Stage7 ,Stage in line,Toulouse,480,Louis Trousselier,
"27,575",Tour de France 1929 - Stage10 ,Stage in line,Perpignan,323,Jef Demuysere,
"27,566",Tour de France 1937 - Stage17c ,Stage in line,La Rochelle,67,Roger Lapébie,
"27,563",Tour de France 1907 - Stage5 ,Stage in line,Grenoble,311.0,Emile Georget,
"27,507",Tour de France 1952 - Stage 11 RR,Stage in line,Sestriere,182.0,Fausto Coppi,
"27,478",Tour de France 1923 - Stage1 ,Stage in line,Le Havre,381,Robert Jacquinot,
"27,462",Tour de France 1925 - Stage5 ,Stage in line,"Les Sables-d'Olonne",204.0,Nicolas Frantz,
"27,462",Tour de France 1907 - Stage8 ,Stage in line,Toulouse,303.0,Emile Georget,
"27,408",Tour de France 1914 - Stage7 ,Stage in line,Perpignan,323,Jean Alavoine,
"27,395",Tour de France 1913 - Stage1 ,Stage in line,Le Havre,388,Giovanni Micheletto,
"27,381",Tour de France 1907 - Stage7 ,Stage in line,Nîmes,345,Emile Georget,
"27,359",Tour de France 1909 - Stage3 ,Stage in line,Belfort,259.0,François Faber,
"27,358",Tour de France 1913 - Stage14 ,Stage in line,Dunkirk,393,Marcel Buysse,
"27,347",Tour de France 1970 - Stage20a ,Stage in line,Bordeaux,231.0,Rolf Wolfshohl,
"27,316",Tour de France 1934 - Stage15 ,Stage in line,Ax-les-Thermes,158,Roger Lapébie,
"27,313",Tour de France 1933 - Stage14 ,Stage in line,Perpignan,166,André Leducq,
"27,302",Tour de France 1911 - Stage7 ,Stage in line,Marseille,334,Charles Crupelandt,
"27,301",Tour de France 1929 - Stage13 ,Stage in line,Nice,133.0,Benoit Faure,
"27,276",Tour de France 1932 - Stage6 ,Stage in line,Perpignan,323,Frans Bonduel,
"27,216",Tour de France 1908 - Stage8 ,Stage in line,Toulouse,303.0,François Faber,
"27,176",Tour de France 1936 - Stage15 ,Stage in line,Bagnères-de-Luchon,325,Sauveur Ducazeaux,
"27,169",Tour de France 1906 - Stage3 ,Stage in line,Dijon,416,René Pottier,
"27,160",Tour de France 1949 - Stage 11 RR,Stage in line,Bagnères-de-Luchon,193,Jean Robic,
"27,147",Tour de France 1936 - Stage9 ,Stage in line,Digne-les-Bains,220.0,Léon Level,
"27,132",Tour de France 1947 - Stage8 ,Stage in line,Briançon,185,Fermo Camellini,
"27,130",Tour de France 1909 - Stage7 ,Stage in line,Nîmes,345,Ernest Paul,
"27,125",Tour de France 1906 - Stage6 ,Stage in line,Marseille,308.0,Georges Passerieu,
"27,082",Tour de France 1906 - Stage1 ,Stage in line,Lille,275.0,Emile Georget,
"27,080",Tour de France 1913 - Stage7 ,Stage in line,Perpignan,323,Marcel Buysse,
"27,061",Tour de France 1923 - Stage4 ,Stage in line,"Les Sables-d'Olonne",412,Albert Dejonghe,
"27,060",Tour de France 1931 - Stage13 ,Stage in line,Cannes,181,Charles Pélissier,
"27,059",Tour de France 1947 - Stage4 ,Stage in line,Strasbourg,223.0,Jean Robic,
"27,057",Tour de France 1914 - Stage3 ,Stage in line,Brest,405,Emile Engel,
"27,020",Tour de France 1913 - Stage11 ,Stage in line,Geneva,325,Marcel Buysse,
"27,008",Tour de France 1934 - Stage14 ,Stage in line,Perpignan,177.0,Roger Lapébie,
"26,986",Tour de France 1979 - Stage18 ,Stage in line,"L'Alpe-d'Huez",118.5,Joop Zoetemelk,
"26,985",Tour de France 1934 - Stage21a ,Stage in line,La Roche-sur-Yon,81,René Le Grevès,
"26,975",Tour de France 1922 - Stage4 ,Stage in line,"Les Sables-d'Olonne",412,Philippe Thys,
"26,975",Tour de France 1965 - Stage18 ITT,Individual time trial,Le Revard,26.9,Felice Gimondi,
"26,974",Tour de France 1948 - Stage 13 RR,Stage in line,Briançon,274.0,Gino Bartali,
"26,959",Tour de France 1935 - Stage13a ,Stage in line,Nîmes,112,Vasco Bergamaschi,
"26,952",Tour de France 1904 - Stage3 ,Stage in line,Toulouse,424,Henri Cornet,
"26,951",Tour de France 1936 - Stage7 ,Stage in line,Grenoble,230.0,Theo Middelkamp,
"26,945",Tour de France 1911 - Stage5 ,Stage in line,Grenoble,366,Emile Georget,
"26,944",Tour de France 1929 - Stage22 ,Stage in line,Paris,332.0,Nicolas Frantz,
"26,934",Tour de France 1930 - Stage10 ,Stage in line,Perpignan,322,Charles Pélissier,
"26,922",Tour de France 1935 - Stage16 ,Stage in line,Pau,194.0,Ambrogio Morelli,
"26,890",Tour de France 1936 - Stage16 ,Stage in line,Pau,194.0,Sylvère Maes,
"26,883",Tour de France 1934 - Stage20 ,Stage in line,La Rochelle,183.0,Georges Speicher,
"26,869",Tour de France 1930 - Stage20 ,Stage in line,Malo-les-Bains,271.0,Charles Pélissier,
"26,863",Tour de France 1929 - Stage11 ,Stage in line,Marseille,366,André Leducq,
"26,862",Tour de France 1907 - Stage11 ,Stage in line,Nantes,391,Lucien Petit-Breton,
"26,838",Tour de France 1914 - Stage9 ,Stage in line,Nice,338,Jean Rossius,
"26,805",Tour de France 1950 - Stage18 ,Stage in line,Briançon,165,Louison Bobet,
"26,805",Tour de France 1932 - Stage11 ,Stage in line,Gap,233.0,André Leducq,
"26,789",Tour de France 1979 - Stage17 ,Stage in line,"L'Alpe-d'Huez",166.5,Joaquim Agostinho,
"26,768",Tour de France 1912 - Stage5 ,Stage in line,Grenoble,366,Eugène Christophe,
